ID,Mission,Type,Subtype,Weight (g),Weight (kg),Pristine (%),,Mission,Sample weight (kg),Weight diff,Lunar module (LM),LM mass (kg),LM mass diff,Command Module (CM),CM mass (kg),CM mass diff
14188,Apollo14,Breccia,Fragmental,1.6,0.0016,98.75,,,,,,,,,,
14190,Apollo14,Soil,<1mm,34.85,0.03485,95.15,,,,,,,,,,
14191,Apollo14,Soil,1-2mm,5.92,0.00592,79.05,,,,,,,,,,
14192,Apollo14,Soil,2-4mm,8.06,0.00806,88.34,,,,,,,,,,
14193,Apollo14,Soil,4-10mm,11.15,0.01115,81.53,,,,,,,,,,
14194,Apollo14,Breccia,Fragmental,4.28,0.00428,89.67,,,,,,,,,,
14195,Apollo14,Breccia,Fragmental,2.77,0.00277,94.58,,,,,,,,,,
14196,Apollo14,Breccia,Fragmental,3.93,0.00393,100,,,,,,,,,,
14197,Apollo14,Breccia,ImpactMelt,1.63,0.00163,90.8,,,,,,,,,,
14198,Apollo14,Breccia,ImpactMelt,1.63,0.00163,86.2,,,,,,,,,,
14199,Apollo14,Breccia,Fragmental,1.88,0.00188,62.98,,,,,,,,,,
14200,Apollo14,Basalt,Feldspathic,1.24,0.00124,77.82,,,,,,,,,,
14201,Apollo14,Breccia,Fragmental,1.56,0.00156,100,,,,,,,,,,
14210,Apollo14,Core,Unsieved,169.7,0.1697,71.6,,,,,,,,,,
14211,Apollo14,Core,Unsieved,39.5,0.0395,77.75,,,,,,,,,,
14220,Apollo14,Core,Unsieved,80.7,0.0807,62.8,,,,,,,,,,
14230,Apollo14,Core,Unsieved,76.7,0.0767,40.2,,,,,,,,,,
14240,Apollo14,Soil,Unsieved,168,0.168,53.67,,,,,,,,,,
14250,Apollo14,Breccia,Regolith,4.06,0.00406,87.17,,,,,,,,,,
14251,Apollo14,Breccia,Regolith,1.51,0.00151,73.58,,,,,,,,,,
14252,Apollo14,Breccia,Regolith,0.86,0.00086,59.54,,,,,,,,,,
14253,Apollo14,Breccia,Fragmental,1.23,0.00123,96.59,,,,,,,,,,
14254,Apollo14,Breccia,Regolith,1.01,0.00101,93.07,,,,,,,,,,
14255,Apollo14,Breccia,Regolith,22.15,0.02215,80.88,,,,,,,,,,
14256,Apollo14,Soil,4-10mm,13.71,0.01371,75.09,,,,,,,,,,
14257,Apollo14,Soil,2-4mm,30.48,0.03048,63.27,,,,,,,,,,
14258,Apollo14,Soil,1-2mm,64.33,0.06433,83.63,,,,,,,,,,
14259,Apollo14,Soil,<1mm,2352.1,2.3521,78.59,,,,,,,,,,
14260,Apollo14,Soil,<1mm,282.5,0.2825,97.05,,,,,,,,,,
14261,Apollo14,Soil,2-4mm,8.2,0.0082,0.24,,,,,,,,,,
14262,Apollo14,Soil,1-2mm,9.1,0.0091,77.09,,,,,,,,,,
14263,Apollo14,Soil,4-10mm,16.2,0.0162,87.68,,,,,,,,,,
14264,Apollo14,Breccia,Regolith,117.9,0.1179,98.21,,,,,,,,,,
14265,Apollo14,Breccia,Fragmental,65.79,0.06579,97.22,,,,,,,,,,
14266,Apollo14,Breccia,ImpactMelt,6.95,0.00695,98.14,,,,,,,,,,
14267,Apollo14,Breccia,ImpactMelt,54.77,0.05477,15.75,,,,,,,,,,
14268,Apollo14,Breccia,ImpactMelt,23.12,0.02312,96.8,,,,,,,,,,
14269,Apollo14,Breccia,ImpactMelt,17.19,0.01719,96.28,,,,,,,,,,
14270,Apollo14,Breccia,ImpactMelt,25.59,0.02559,64.6,,,,,,,,,,
14271,Apollo14,Breccia,ImpactMelt,97.41,0.09741,97.88,,,,,,,,,,
14272,Apollo14,Breccia,ImpactMelt,46.63,0.04663,98.78,,,,,,,,,,
14273,Apollo14,Breccia,ImpactMelt,22.4,0.0224,97.81,,,,,,,,,,
14274,Apollo14,Breccia,ImpactMelt,15.18,0.01518,95.98,,,,,,,,,,
14275,Apollo14,Breccia,Fragmental,12.46,0.01246,95.99,,,,,,,,,,
14276,Apollo14,Breccia,ImpactMelt,12.75,0.01275,23.29,,,,,,,,,,
14277,Apollo14,Breccia,ImpactMelt,7.59,0.00759,96.84,,,,,,,,,,
14278,Apollo14,Breccia,ImpactMelt,7.6,0.0076,94.95,,,,,,,,,,
14279,Apollo14,Breccia,Fragmental,5.67,0.00567,97.41,,,,,,,,,,
14280,Apollo14,Breccia,ImpactMelt,6.2,0.0062,97.58,,,,,,,,,,
14281,Apollo14,Breccia,ImpactMelt,12.03,0.01203,89.35,,,,,,,,,,
14282,Apollo14,Breccia,Fragmental,1.89,0.00189,79.42,,,,,,,,,,
14283,Apollo14,Breccia,ImpactMelt,1.25,0.00125,94.8,,,,,,,,,,
14284,Apollo14,Breccia,ImpactMelt,1.47,0.00147,97.96,,,,,,,,,,
14285,Apollo14,Breccia,Fragmental,2.23,0.00223,99.55,,,,,,,,,,
14286,Apollo14,Breccia,Fragmental,4.42,0.00442,39.59,,,,,,,,,,
14287,Apollo14,Breccia,Fragmental,1.07,0.00107,100,,,,,,,,,,
14288,Apollo14,Breccia,ImpactMelt,3.44,0.00344,100.58,,,,,,,,,,
14290,Apollo14,Soil,<1mm,23.63,0.02363,92.65,,,,,,,,,,
14291,Apollo14,Soil,1-2mm,2.12,0.00212,100,,,,,,,,,,
14292,Apollo14,Soil,2-4mm,3.53,0.00353,100,,,,,,,,,,
14293,Apollo14,Soil,4-10mm,5.2,0.0052,89.23,,,,,,,,,,
14294,Apollo14,Breccia,Fragmental,3.43,0.00343,100,,,,,,,,,,
14295,Apollo14,Breccia,Fragmental,1.24,0.00124,100,,,,,,,,,,
14296,Apollo14,Breccia,Fragmental,2.26,0.00226,100,,,,,,,,,,
14297,Apollo14,Breccia,Fragmental,1.73,0.00173,74.57,,,,,,,,,,
14298,Apollo14,Soil,<1mm,116.7,0.1167,54.15,,,,,,,,,,
14299,Apollo14,Soil,<1mm,225.2,0.2252,99.73,,,,,,,,,,
14301,Apollo14,Breccia,Regolith,1361,1.361,76.54,,,,,,,,,,
14303,Apollo14,Breccia,Fragmental,898.4,0.8984,76.23,,,,,,,,,,
14304,Apollo14,Breccia,ImpactMelt,2499,2.499,97.12,,,,,,,,,,
14305,Apollo14,Breccia,Fragmental,2498,2.498,76.67,,,,,,,,,,
14306,Apollo14,Breccia,Fragmental,584.5,0.5845,129.14,,,,,,,,,,
14307,Apollo14,Breccia,Regolith,155,0.155,58.85,,,,,,,,,,
14309,Apollo14,Breccia,Regolith,42.4,0.0424,95.72,,,,,,,,,,
14310,Apollo14,Breccia,ImpactMelt,3439,3.439,68.47,,,,,,,,,,
14311,Apollo14,Breccia,ImpactMelt,3204,3.204,89.27,,,,,,,,,,
14312,Apollo14,Breccia,Fragmental,299,0.299,89.42,,,,,,,,,,
14313,Apollo14,Breccia,Regolith,144,0.144,72.34,,,,,,,,,,
14314,Apollo14,Breccia,Fragmental,115.7,0.1157,93.54,,,,,,,,,,
14315,Apollo14,Breccia,Regolith,115,0.115,84.43,,,,,,,,,,
14316,Apollo14,Breccia,Regolith,38.2,0.0382,96.87,,,,,,,,,,
14317,Apollo14,Breccia,Regolith,16.1,0.0161,95.59,,,,,,,,,,
14318,Apollo14,Breccia,Regolith,600.2,0.6002,72.74,,,,,,,,,,
14319,Apollo14,Breccia,Fragmental,211.6,0.2116,75.21,,,,,,,,,,
14320,Apollo14,Breccia,Fragmental,64.9,0.0649,92.33,,,,,,,,,,
14321,Apollo14,Breccia,Fragmental,8998,8.998,72.74,,,,,,,,,,
14411,Apollo14,Core,Unsieved,5.53,0.00553,1.81,,,,,,,,,,
14414,Apollo14,Core,Unsieved,5.46,0.00546,1.83,,,,,,,,,,
14421,Apollo14,Soil,Unsieved,260.9,0.2609,59.52,,,,,,,,,,
14422,Apollo14,Soil,<1mm,2400,2.4,97.24,,,,,,,,,,
14425,Apollo14,Breccia,Glass,0.79,0.00079,0,,,,,,,,,,
14426,Apollo14,Breccia,Fragmental,1.59,0.00159,100,,,,,,,,,,
14427,Apollo14,Breccia,Fragmental,4.47,0.00447,100,,,,,,,,,,
14428,Apollo14,Breccia,ImpactMelt,1.47,0.00147,95.92,,,,,,,,,,
14429,Apollo14,Breccia,ImpactMelt,3.03,0.00303,97.03,,,,,,,,,,
14430,Apollo14,Breccia,Fragmental,4.81,0.00481,90.48,,,,,,,,,,
